name,year,age,sex,title,affiliation,location,area,bio,affil_short,title_short,area_short
A. E. Stallings,2011-06-15,43,Female,None Provided,None Provided,"Athens, Greece","Poetry, Translation","
                  
	About A.E.'s Work

	A. E. Stallings is a poet and translator mining the classical world and traditional poetic techniques to craft works that evoke startling insights about contemporary life. In both her original poetry and translations, Stallings exhibits a mastery of highly structured forms (such as sonnets, couplets, quatrains, and sapphics) and consummate skill in creating new combinations of meter, rhyme, and syntax into distinctive, emotionally compelling verse. Trained in classical Latin and Greek and currently living in Athens, she brings a wide knowledge of Greco-Roman literature, art, and mythology to bear on her imaginative explorations of contemporary circumstances and concerns. In Hapax (2006), Stallings imbues figures and events from classical drama and mythology with a modern sensibility. ""First Love,"" written as a multiple-choice quiz, intertwines the Persephone myth with a chilling account of infatuation, and ""XII Klassikal Lymnaeryx"" emphasizes the satiric edge to Greek myth through a series of limericks in witty, unexpected diction. For her ambitious translation of De Rerum Natura (The Nature of Things, 2007), Stallings rendered Lucretius's epic-length treatise on the nature of reality into rhyming fourteeners. The unusual meter and colloquial language she employs capture every cadence of Lucretius's enthusiasm for his subject while also making the complexities of his argument easily understandable. Through her technical dexterity and graceful fusion of content and form, Stallings is revealing the timelessness of poetic expression and antiquity's relevance for today.

	Biography

	A. E. Stallings received an A.B. (1990) from the University of Georgia and an M.St. (1992) from the University of Oxford. Her additional works include the poetry collection Archaic Smile (1999) and poems and essays in such publications as Poetry, the Atlantic Monthly, the Hudson Review, and the Yale Review. She also serves as director of the poetry program at the Athens Centre in Athens, Greece.

              ",None Provided,None Provided,Poetry
A. K. Ramanujan,1983-06-15,54,Male,None Provided,None Provided,"Chicago, Illinois","Poetry, Translation, Literary History and Criticism","
                  
	About A. K.'s Work

	A. K. Ramanujan was a poet and translator who studied linguistics, mythology, folklore, poetics, and South Indian and English literatures.

	In his essays, poetry, translations, and teaching, his aim was to enhance communication among the speakers of Tamil, Kannada, and English languages.  Published in England, the United States, and India, Ramanujan wrote many books, including several translations: Speaking of Siva (1973), Samskara (1976), Hymns for the Drowning (1981), and Poems of Love and War (1985).  His books of poetry include Relations (1971), Selected Poems (1977), and Second Sight (1986).  He was also editor of Folktales from India: A Selection of Oral Tales from Twenty-two Languages (1991), and co-editor of Another Harmony; New Essays on the Folklore of India (1986).  The Collected Poems (1995), Collected Essays of A. K. Ramanujan (1999), and Uncollected Poems and Prose: A. K. Ramanujan (2001) were published after his death.

	Biography

	Ramanujan was the William E. Colvin Professor at the University of Chicago in the Department of South Asian Languages and Civilizations, and was also a professor in the Committee on Social Thought and in the Department of Linguistics.

	Ramanujan received a B.A. (1949) and an M.A. (1950) from the University of Mysore, and a Ph.D. (1963) from Indiana University. 

	Last updated January 1, 2005.

              ",None Provided,None Provided,Poetry
A. R. Ammons,1981-06-15,55,Male,None Provided,None Provided,"Ithaca, New York",Poetry,"
                  
	A. R. Ammons was a poet.

	Among the most prolific of American poets, he began writing poetry in earnest while serving in the United States Navy during the Second World War.  His poems are experimental in style and focus on the dilemma of reinventing the self.  Ammons’ books include Corsons Inlet (1965), Tape for the Turn of Year (1965), Sphere (1974), The Snow Poems (1977), A Coast of Trees (1981), Worldly Hopes (1982), Lake Effect Country (1983), Selected Poems (1987), Sumerian Vistas (1987), The Really Short Poems of A. R. Ammons (1990), Garbage (1993), Rarities (1994), Stand-in (1994), The North Carolina Poems (1994), Brink Road: Poems (1996), and Glare (1997).

	Ammons taught at Cornell University, where he was the Goldwin Smith Professor Emeritus of Poetry.  He was the recipient of a Guggenheim Fellowship (1966), and a Lannan Foundation Grant for Poetry (1994).  He numbers among his awards the National Book Award for poetry (1973, 1993), the Bollingen Prize for Poetry (1974), the National Book Critics Circle Award (1981), the Library of Congress Bobbitt Prize (1994), and the Ruth Lilly Prize for Poetry (1995).

	Ammons received a B.S. (1949) from Wake Forest College, and later studied English at the University of California, Berkeley. 

	Last updated January 1, 2005.

              ",None Provided,None Provided,Poetry
Aaron Dworkin,2005-06-15,35,Male,Music Educator,The Sphinx Organization,"Detroit, Michigan","Arts Entrepreneurship/Management, Arts Education","
                  
	About Aaron's Work

	Aaron Dworkin is a talented violinist, charismatic arts educator, and the Founder and President of the Detroit-based Sphinx Organization. He and his organization have expanded access for increased numbers of minorities to careers in classical music around the country. Through his efforts, he has transformed the lives of many African-American and Latino musicians and changed the landscape of classical music in America. As minorities currently comprise only 1.5 percent of professional symphony players in the United States, Sphinx set a course to attract young men and women to classical music, countering their perception that such careers face insurmountable barriers and providing them with rigorous training, affordable instruments, and performance opportunities. The results have been to turn out fresh new talent second to none and to fill a void recognized by all. Determined to reverse the isolation of whole populations of young musicians from the beauty, value, and meaning of classical music, Dworkin began by organizing an annual national competition for minority string players. His programs grew rapidly to encompass an orchestra entirely composed of African-American and Latino musicians; a summer training program for underprivileged string players; music education outreach programs in Detroit public schools; an instrument fund for players unable to afford them; and a scholarship fund for deserving musicians who otherwise could not go on for advanced training. Through his programs and nurturing support, Dworkin assures access and enriches symphonies across the country.

	Biography

	Aaron Dworkin received a B.M. (1997) and an M.M. (1998) from the University of Michigan. In 1996, Dworkin founded The Sphinx Organization, for which he now serves as president. A frequent speaker on youth and minority involvement and career development in classical music, he also serves as an advisor for several education and music organizations, including the University Musical Society and the Rachel Elizabeth Barton Foundation.

              ",The Sphinx Organization,Music Educator,Arts Entrepreneurship/Management
Aaron Lansky,1989-06-15,34,Male,None Provided,None Provided,"Holyoke, Massachusetts",Culture and Society,"
                  
	About Aaron's Work

	Aaron Lansky works to revitalize Yiddish culture and make it more accessible and understandable to the post-holocaust world.

	Lansky is founder and president of the National Yiddish Book Center, an organization that has rescued and restored to active use more than 1.5 million neglected Yiddish books since 1980.  Through distribution of duplicate holdings, the Center has also developed or strengthened collections of Yiddish literature and music at more than 450 major libraries and research centers around the world.  Supported by more than 30,000 members, the Center offers year-round educational programming for adults, as well as student internships and fellowships, and it publishes The Pakn-Treger, a quarterly magazine.  The Center has produced a thirteen-part radio series entitled “Jewish Short Stories from Eastern Europe and Beyond,” which aired on National Public Radio.  Lansky has written a book about his travels entitled Outwitting History: The Amazing Adventures of a Man Who Rescued a Million Yiddish Books (2004.)

	Biography

	Lansky spearheaded construction of a new facility on the campus of Hampshire College in Amherst, Massachusetts, to house the Center’s growing collections and programs.  Echoing Jewish architecture of Eastern Europe, the new National Yiddish Book Center, dedicated in 1997, provides consummate access to Yiddish culture.

	Lansky received a B.A. (1977) from Hampshire College and an M.A. (1980) from McGill University.

	Recent News

	Aaron Lansky continues to serve as president of the Yiddish Book Center. In addition to rescuing endangered Yiddish books, the center is now working to restore the vast cultural side of Jewish life, with new initiatives in digitization, translation, oral history, and, above all, educational ventures for high school students, college students, twenty-somethings, and adults.

	Updated July 2015

              ",None Provided,None Provided,Culture and Society
Aaron Shirley,1993-06-15,60,Male,None Provided,None Provided,"Jackson, Mississippi",Health Care Delivery,"
                  
	About Aaron's Work

	Aaron Shirley, an expert in public health and community organizing, is a leader in developing public health strategies that address a wide range of medical and social needs.

	In 1970, Shirley co-founded the Jackson-Hinds Comprehensive Health Center in Jackson, Mississippi.  Based on the belief that health care is a right, the Center serves the citizens of Jackson and Hinds Counties, and has become a national model for health promotion, disease prevention, and comprehensive care.  The center also provides a source for recruiting African-Americans from the surrounding areas for careers in health professions, and is the basis for an exceptional, school-based health program that includes family-planning services.  In 1995, Shirley led the conversion of an abandoned shopping mall into a state-of-the-art health care facility for the underserved citizens of Jackson.

	Biography

	Shirley is the chairman of the board of the Jackson Medical Mall Foundation and is also the director of Community Health Services at the University of Mississippi Medical Center.

	Shirley received a B.S. (1955) from Tougaloo College and an M.D. (1959) from Meharry Medical College in Nashville, Tennessee.  In 1965, he became the first African-American resident at the University of Mississippi Medical Center. 

	Last updated January 1, 2005

              ",None Provided,None Provided,Health Care Delivery
Ada Louise Huxtable,1981-06-15,60,Female,None Provided,None Provided,"New York, New York",Art History/Theory/Criticism and Visual Culture,"
                  
	About Ada's Work

	Ada Louise Huxtable was an architecture critic and architectural historian.

	As architecture critic for the New York Times (1963-1982) and member of the Times’ editorial board (1973-1983), Huxtable was the first full-time architecture critic for an American newspaper.  Her criticism dealt with architecture both as a creative art and as a city-shaping product of politics, economics, and law.  After leaving the Times, her work focused on the history of the stylistic development of the skyscraper and the changes in contemporary architectural theory and practice.  Her many books included Pier Luigi Nervi (1960), Classical New York (1964), Will They Ever Finish Bruckner Boulevard? (1970), Kicked a Building Lately? (1976), The Tall Building Artistically Reconsidered: The Search for a Skyscraper Style (1985),  Architecture, Anyone? Cautionary Tales of the Building Art (1987), Goodbye History, Hello Hamburger (1987), The Unreal America: Architecture and Illusion (1997), and Frank Lloyd Wright (2004).

	Biography

	Huxtable was the architecture critic for the Wall Street Journal and served as an architectural advisor for institutional and government projects that affected the public environment and public art. 

	Huxtable received an A.B. (1941) from Hunter College and later studied at New York University’s Institute of Fine Arts. 

	Last updated January 1, 2005.

              ",None Provided,None Provided,Art History/Theory/Criticism and Visual Culture
Adam Riess,2008-06-15,38,Male,Astronomer,"Department of Physics and Astronomy, Johns Hopkins University / Space Telescope Science Institute","Baltimore, Maryland",Astrophysics and Astronomy,"
                  
	About Adam's Work

	Adam Riess is a young astronomer whose observations are taking us to the edge of the universe, telling the story both of its beginning and its end. As a postdoctoral fellow, Riess served as first author of one of the seminal papers of 20th-century astronomy. He and his colleagues, along with a simultaneous report from a competing group, showed not only that the universe is expanding, as Hubble demonstrated decades ago, but also that the rate of expansion is actually accelerating. They accomplished this by measuring in the most distant regions of space the spectral properties of rare but well-characterized supernovas known as Type Ia. By comparing the brightness of the event (which indicates distance) with the redshift (which indicates velocity), they found a non-linear relationship — relative motion of more distant objects changes disproportionately with their distance. Since then, Riess has led rigorous efforts to use the Hubble Space Telescope to increase the precision of the data, thereby reducing the plausibility of alternative explanations of the original result. This finding has profound implications for cosmology, helping us to better understand the “shape” of the universe, as well as other areas of theoretical physics. In cosmology, it is understood that the observable mass in the universe cannot account for the measured rate of expansion. Theoreticians have postulated the existence of “dark matter” (mass that our current instruments cannot detect), but estimates suggest that even that is insufficient; some believe that massless “dark energy” represents the main driving force for cosmic acceleration. Riess is now actively engaged in designing experiments and devices to detect and measure dark energy.

	Biography

	Adam Riess received a B.S. (1992) from the Massachusetts Institute of Technology and an A.M. (1994) and Ph.D. (1996) from Harvard University. He has been a professor of physics and astronomy at Johns Hopkins University since 2006 and is also an astronomer at the Space Telescope Science Institute in Baltimore, Maryland. From 1996 to 1999, Riess was a Miller Fellow at the University of California, Berkeley.

              ",Johns Hopkins University / Space Telescope Science Institute,Astronomer,Astrophysics and Astronomy
Adrian LeBlanc,2006-06-15,42,Female,None Provided,None Provided,"New York, New York",Communications and Journalism,"
                  
	About Adrian's Work

	Adrian Nicole LeBlanc is a nonfiction writer who writes like a novelist in the very best tradition of literary journalism. A prolific author of magazine and newspaper articles, many on the effects of poverty on adolescents, LeBlanc redefined immersion reporting in her first book, Random Family: Love, Drugs, Trouble and Coming of Age in the Bronx (2003). The result of a decade spent closely involved in the lives of her subjects, this ten-year odyssey stretches the very fabric of long-form nonfiction and demonstrates LeBlanc’s mastery as observer of human character. Her haunting study enables readers to inhabit the daily chaos and brutal violence of a community in an impoverished Bronx neighborhood, revealing its inner workings and creating an intimate chronicle of urban poverty. It is an original, surprising, and unsettling work of nonfiction that helps readers see and value the humanity in even the poorest lives and to find meaning, as do LeBlanc’s subjects, in the most ordinary moments. Her current project, an investigation of the world of stand-up comedians, also explores lives at the margin and delves into the distinctive realities of the comic underworld and the characters that inhabit it. With an eye for detail and a passion for depth, Adrian LeBlanc is forging a new form of literary reportage and illuminating worlds little known and less understood.

	Biography

	Adrian Nicole LeBlanc received a B.A. (1986) in sociology from Smith College, an M.A. (1988) in philosophy and modern literature from the University of Oxford, and an M.A. (1993) in law studies from Yale University Law School. Prior to devoting herself to the project that became Random Family, she was the fiction editor of Seventeen magazine (1988-1992). She has been a member of the adjunct faculty of Columbia University’s School of Journalism (2005) and is currently a visiting scholar at New York University’s School of Journalism. Her work has appeared in numerous publications, including the New York Times Magazine, the New Yorker, Esquire, and the Village Voice, among others.

              ",None Provided,None Provided,Communications and Journalism
Adrian Wilson,1983-06-15,60,Male,None Provided,None Provided,"San Francisco, California","Crafts and Arts Technology, Art History/Theory/Criticism and Visual Culture","
                  
	About Adrian's Work

	Adrian Wilson was a book designer, a printer, a typographer, and an author on the history of the book.

	He began his career in 1947 by designing and printing theater programs.  This work led to commissions for printing fine books, for designing scholarly texts for university presses, and for books and catalogues of the work of major photographers and artists for museums and trade publishers.  His research involved the analysis and dating of early books and manuscripts.  Wilson’s works include Printing for Theater (1957), The Design of Books (1967), The Making of the Nuremberg Chronicle (1976), The Work and Play of Adrian Wilson (1983), A Medieval Mirror: Speculum humanae salvationis 1324-1500 (1984), and More Printing for Theater (1987).  He was also the designer, printer, and publisher of Weldon Kees’ Poems 1947-1954 (1954) and William Everson’s In Medias Res. (1984), among others.

	Biography

	Wilson was a research associate at the University of California, Davis.  He also taught at the San Francisco Art Institute and the University of California, Santa Cruz, among others.  He received grants from the California Arts Council and the National Endowment for the Arts.

	Wilson attended Wesleyan University and the University of California at Berkeley.

	Last updated January 1, 2005.

              ",None Provided,None Provided,Crafts and Arts Technology
